# Verified stock disassembly; regenerate with tools/sonic_disassembly.py
000200,EndOfHeader,ErrorTrap
000206,EntryPoint,
000234,SkipSecurity,
00023E,VDPInitLoop,
000250,WaitForZ80,
000256,Z80InitLoop,
000262,ClrRAMLoop,
00026E,ClrCRAMLoop,
000278,ClrVSRAMLoop,
000280,PSGInitLoop,
000292,SkipSetup,
000300,GameProgram,
00031C,CheckSumCheck,
00033E,CheckSumOk,
000364,GameInit,
000370,v_spcsfx_fm_tracks_end,v_spcsfx_psg_tracks
000388,MainGameLoop,
000396,GameModeArray,gmptr / __LABEL__ / id_Sega
00039A,id_Title,
00039E,id_Demo,
0003A2,id_Level,
0003A6,id_Special,
0003AA,id_Continue,
0003AE,id_Ending,
0003B2,id_Credits,
0003B8,CheckSumError,
0003D6,BusError,
0003DE,AddressError,
0003E6,IllegalInstr,
0003F2,ZeroDivide,
0003FA,ChkInstr,
000402,TrapvInstr,
00040A,PrivilegeViol,
000412,Trace,
00041A,Line1010Emu,
000426,Line1111Emu,
000432,ErrorExcept,
00043A,ErrorHandler_WithAddress,
000440,zDAC_Snare,
000462,ErrorHandler_WithoutAddress,
000488,ShowErrorMessage,
0005BA,ShowErrorValue,
0005E0,ErrorWaitForC,
000B10,Art_Text_end,VBlank
000B5E,VBlank_Music,
000B64,VBlank_Exit,
000B88,VBlank_Lag,
000BB0,zDAC_Timpani,
000C32,VBlank_Sega,
000C36,VBlank_SegaPCM,
000C44,VBlank_Title,
000C5E,VBlank_Unused06,
000C64,VBlank_Paused,
000C6E,VBlank_Levels,
000D84,VBlank_UpdateScreen,
000DA6,VBlank_SpecialStage,
000E72,VBlank_TitleCards,VBlank_Ending
000F8A,VBlank_Unused0E,
000F9A,VBlank_PaletteFade,
000FA6,VBlank_Continue,
00106E,VBlank_StandardTransfers,
001126,HBlank,
0011B6,JoypadInit,
0011E6,ReadJoypads,
001222,VDPSetupGame,
0012C4,VDPSetupArray_End,ClearScreen
001352,DACDriverLoad,
001396,QueueSound1,
00139C,QueueSound2,
0013A2,QueueSound3,
0013A8,PauseGame,
0013BE,Pause_StopGame,
0013CA,Pause_Loop,
0013EC,Pause_ChkBC,
0013FC,Pause_ChkStart,
001404,Pause_EndMusic,
00140A,Unpause,
001410,Pause_DoNothing,
001412,Pause_SlowMo,
001420,TilemapToVRAM,
00142C,Tilemap_Line,
001432,Tilemap_Cell,
001440,NemDec,
001452,NemDecToRAM,
00145C,NemDecMain,
00148A,NemDec_ProcessCompressedData,
0014C0,NemPCD_ProcessCompressedData,
0014C2,NemPCD_WritePixel,
0014CC,NemPCD_NewRow,
0014D0,NemPCD_WritePixel_Loop,
0014D6,NemPCD_InlineData,
001502,NemPCD_WriteRowToVDP,
00150C,NemPCD_WriteRowToVDP_XOR,
001518,NemPCD_WriteRowToRAM,
001522,NemPCD_WriteRowToRAM_XOR,
00152E,NemDec_BuildCodeTable,
001530,NemBCT_ChkEnd,
001538,NemBCT_NewPALIndex,
00153A,NemBCT_Loop,
001568,NemBCT_ShortCode,
001574,NemBCT_ShortCode_Loop,
001580,AddPLC,
0015B2,NewPLC,
0015DE,ClearPLC,
0015EC,RunPLC,
001642,ProcessPLC_9Tiles,
00165E,ProcessPLC_3Tiles,
001676,ProcessPLC,
0016DA,ProcessPLC_Return,
0016DC,ProcessPLC_ShiftCue,
0016EC,QuickPLC,
00171E,EniDec,
00173E,Eni_Loop,
00177A,EniDec_100,
001786,EniDec_101,
001794,EniDec_110,
0017A2,EniDec_111,
0017B4,EniDec_Index,
0017C4,EniDec_Done,
0017DC,EniDec_FetchInlineValue,
00188C,EniDec_FetchByte,
00189C,KosDec,
0018A8,Kos_Loop,
0018C2,Kos_RLE,
001906,Kos_SeparateRLE,
00191C,Kos_RLELoop,
001928,Kos_SeparateRLE2,
001938,Kos_Done,
00193C,PaletteCycle,
00195C,PalCycle_Title,
001964,PalCycle_GHZ,
00196A,PCycGHZ_Go,
001990,PCycGHZ_Skip,
001992,PalCycle_LZ,
